Player,Nation_code,Age,Pos,Pos_group,Playing Time 90s,weighted_score_norm2,weighted_score_robust_z
Raphaël Guerreiro,POR,29.0,"DF,MF",MID,13.2,49.300303030303034,18.73836531576514
Julien Ponceau,FRA,22.0,MF,MID,24.9,50.50775100401607,18.52786278536427
Toni Kroos,GER,33.0,MF,MID,23.6,46.361525423728814,18.432193804545957
Ruben Aguilar,FRA,30.0,DF,DEF,21.4,43.71738317757009,18.238226826521235
Bradley Barcola,FRA,20.0,"FW,MF",FWD,15.2,51.043157894736844,17.87573873635602
Brahim Díaz,MAR,23.0,"FW,MF",FWD,17.2,40.48046511627907,17.796783425474075
Rafael Leão,POR,24.0,FW,FWD,27.9,44.00100358422939,17.766549690814546
Harry Kane,ENG,30.0,FW,FWD,31.5,26.16111111111111,17.7658289992754
Loïs Openda,BEL,23.0,FW,FWD,30.0,28.406666666666666,17.737835921119636
Paulo Dybala,ARG,29.0,"FW,MF",FWD,21.8,37.72385321100917,17.73265809391761
Raphinha,BRA,26.0,"FW,MF",FWD,15.2,39.65236842105263,17.73207985726917
Jonathan Viera,ESP,33.0,MF,MID,10.1,40.75188118811881,17.66955494238585
Thomas Müller,GER,33.0,"MF,FW",FWD,18.4,37.11826086956522,17.623313106632885
Charles De Ketelaere,BEL,22.0,"FW,MF",FWD,22.5,41.90944444444444,17.613302286813077
Florian Neuhaus,GER,26.0,MF,MID,13.6,34.132352941176464,17.600446631875485
Marcos Llorente,ESP,28.0,"MF,DF",MID,28.5,39.01824561403509,17.42367757535522
Andreas Pereira,BRA,27.0,MF,MID,29.0,34.75310344827587,17.277029339565726
Benjamin Henrichs,GER,26.0,DF,DEF,28.1,36.71747330960854,16.862366547016155
Tom Cairney,SCO,32.0,MF,MID,16.5,47.03636363636364,16.8529920312392
Ian Maatsen,NED,21.0,DF,DEF,14.0,36.761428571428574,16.83241139951593
Darwin Núñez,URU,24.0,FW,FWD,22.7,32.40114537444934,16.804976538293328
Mitchell Weiser,GER,29.0,"DF,MF",MID,29.3,40.439590443685994,16.68454289731693
Alejandro Balde,ESP,19.0,DF,DEF,15.3,50.24464052287582,16.52458958911024
Óscar de Marcos,ESP,34.0,DF,DEF,25.1,38.63828685258964,16.418820682703192
Marco Asensio,ESP,27.0,"MF,FW",FWD,12.4,35.57677419354839,16.378693989247147
Quentin Merlin,FRA,21.0,DF,DEF,14.3,41.0693006993007,16.36348112904688
Adrià Pedrosa,ESP,25.0,DF,DEF,19.5,34.009487179487174,16.096376333147525
Bruno Guimarães,BRA,25.0,MF,MID,36.3,36.38545454545454,15.930716148214207
Sergi Darder,ESP,29.0,MF,MID,24.0,34.48833333333334,15.920856158654582
Phil Foden,ENG,23.0,"FW,MF",FWD,31.7,37.18539432176656,15.853940039714306
Jeremy Doku,BEL,21.0,"FW,MF",FWD,17.7,66.58728813559324,15.613332585403585
Nahuel Molina,ARG,25.0,DF,DEF,20.6,42.0021359223301,15.577420363973863
Carlos Soler,ESP,26.0,"MF,DF",MID,12.1,38.30157024793389,15.42845828141269
Gabriel Martinelli,BRA,22.0,FW,FWD,22.4,50.54178571428572,15.425844585062618
Amine Adli,MAR,23.0,"MF,FW",FWD,10.0,43.75,15.358042061567536
Jesús Areso,ESP,24.0,DF,DEF,29.6,37.47054054054053,15.355451682939531
Mathys Tel,FRA,18.0,"FW,MF",FWD,11.7,37.011452991453,15.320340149217195
Andrej Kramarić,CRO,32.0,"MF,FW",FWD,24.4,33.79409836065574,15.291070282981194
Ansgar Knauff,GER,21.0,"MF,DF",MID,23.4,39.51324786324787,15.119484625035625
Declan Rice,ENG,24.0,MF,MID,35.8,36.494469273743015,15.05292290049186
Joško Gvardiol,CRO,21.0,DF,DEF,25.9,36.72482625482626,15.01877516516374
Konrad Laimer,AUT,26.0,"DF,MF",MID,19.7,44.703299492385796,14.968789953133358
Marius Wolf,GER,28.0,DF,DEF,13.0,40.46,14.84418144188207
Rodrygo,BRA,22.0,FW,FWD,26.4,44.68590909090909,14.747022251277192
Kyle Walker,ENG,33.0,DF,DEF,30.7,39.76596091205212,14.180428736319017
Julian Ryerson,NOR,25.0,DF,DEF,19.6,34.64959183673469,14.12121171786043
Exequiel Palacios,ARG,24.0,MF,MID,20.3,35.6623645320197,14.048145367216335
Mahdi Camara,FRA,25.0,MF,MID,22.4,34.597857142857144,13.970170198036403
Sergio Reguilón,ESP,26.0,DF,DEF,12.4,27.853548387096772,13.790359713843124
Diogo Jota,POR,26.0,FW,FWD,12.7,35.6536220472441,13.737573999988156
Tiago santos,POR,21.0,DF,DEF,26.3,37.95851711026616,13.63705094518813
Piero Hincapié,ECU,21.0,DF,DEF,16.5,34.17696969696969,13.589239646300665
João Félix,POR,23.0,FW,FWD,17.1,39.0940350877193,13.424507448845759
Noni Madueke,ENG,21.0,FW,FWD,11.7,47.57226495726496,13.41452617955723
Angel Gomes,ENG,22.0,MF,MID,28.6,35.45118881118881,13.358920790667964
Matías Viña,URU,25.0,DF,DEF,11.3,29.12858407079646,13.2119769281977
Enzo Fernández,ARG,22.0,MF,MID,24.5,39.748163265306125,13.143683821942409
Nadiem Amiri,GER,26.0,MF,MID,14.6,27.647945205479452,13.141643450626066
Youssouf Fofana,FRA,24.0,MF,MID,30.0,40.02,13.054697337283015
Jordan Veretout,FRA,30.0,MF,MID,24.3,41.519218106995886,13.023279599071696
Randal Kolo Muani,FRA,24.0,"FW,MF",FWD,14.1,32.46340425531915,12.905216495389531
Adrien Truffert,FRA,21.0,DF,DEF,23.8,41.77453781512605,12.795676972655283
Antonee Robinson,USA,25.0,DF,DEF,36.3,35.290743801652894,12.723945370298194
Jules Koundé,FRA,24.0,DF,DEF,32.2,35.25683229813664,12.612550262198827
Javi Galán,ESP,28.0,DF,DEF,11.9,40.62613445378151,12.577821295751226
Rayan Cherki,FRA,19.0,"MF,FW",FWD,19.1,45.26607329842932,12.529998942990908
Ben White,ENG,25.0,DF,DEF,33.2,36.332891566265054,12.50910561988628
Romain Del Castillo,FRA,27.0,FW,FWD,27.7,41.66637184115524,12.506144262362998
Ulisses Garcia,SUI,27.0,DF,DEF,10.1,41.51712871287128,12.497656018611792
Chris Führich,GER,25.0,"FW,MF",FWD,28.5,41.562543859649125,12.463495436999155
Ritsu Doan,JPN,25.0,"DF,MF",MID,25.0,33.4,12.443370465758555
Johan Mojica,COL,30.0,DF,DEF,22.7,34.30854625550661,12.428294007059211
Guela Doué,CIV,20.0,DF,DEF,13.7,39.55109489051095,12.385946493471838
Álex Moreno,ESP,30.0,DF,DEF,11.5,36.55695652173913,12.326935827171402
Gerard Moreno,ESP,31.0,FW,FWD,24.6,35.86792682926829,12.18022808740125
Erling Haaland,NOR,23.0,FW,FWD,28.4,19.40380281690141,12.136957314491442
Rogério,BRA,25.0,DF,DEF,10.1,37.63574257425743,11.997409563106922
Daichi Kamada,JPN,26.0,MF,MID,17.2,38.45116279069767,11.966808318624386
Mário Rui,POR,32.0,DF,DEF,13.4,40.73925373134328,11.736625975145758
Leandro Trossard,BEL,28.0,"FW,MF",FWD,18.3,35.989726775956285,11.715501749630924
Cody Gakpo,NED,24.0,"FW,MF",FWD,18.3,31.57349726775956,11.669929037423744
Ryan Gravenberch,NED,21.0,MF,MID,12.5,45.809999999999995,11.543029856314014
Jacob Murphy,ENG,28.0,"FW,DF",FWD,13.2,32.89424242424242,11.54169666560854
Mohamed Simakan,FRA,23.0,DF,DEF,23.8,27.670756302521013,11.483473434064175
Julian Brandt,GER,27.0,"MF,FW",FWD,24.7,31.137165991902833,11.47276324069663
Morgan Sanson,FRA,28.0,MF,MID,21.8,32.90788990825688,11.307660279346333
Carlos Augusto,BRA,24.0,DF,DEF,19.2,29.36791666666667,11.241426268491669
Philipp Max,GER,29.0,DF,DEF,15.0,29.37666666666667,11.152493253258704
Kaoru Mitoma,JPN,26.0,FW,FWD,16.5,53.12151515151515,11.11404565555964
César Azpilicueta,ESP,33.0,DF,DEF,15.8,29.777215189873417,11.09284412552425
Luis Díaz,COL,26.0,FW,FWD,29.2,40.4654794520548,11.013281893226011
Harvey Elliott,ENG,20.0,"MF,FW",FWD,15.0,41.46666666666666,10.901264828384157
Wissam Ben Yedder,FRA,32.0,FW,FWD,25.7,33.01570038910506,10.854653730537665
Niels Nkounkou,FRA,22.0,"DF,MF",MID,14.5,37.883793103448276,10.852489898431394
Maxence Caqueret,FRA,23.0,MF,MID,33.6,41.31738095238095,10.852259533876714
Leonardo Bittencourt,GER,29.0,MF,MID,17.5,38.42,10.728065219506231
Pedro Neto,POR,23.0,"FW,MF",FWD,16.8,38.165238095238095,10.707831662011094
Pedro Neto,POR,23.0,"FW,MF",FWD,16.8,38.165238095238095,10.707831662011094
Christian Pulisic,USA,24.0,"FW,MF",FWD,28.9,38.27411764705882,10.655846070804172
Ruben Loftus-Cheek,ENG,27.0,MF,MID,23.0,34.95565217391304,10.543155676723321
Yuri Berchiche,ESP,33.0,DF,DEF,21.4,34.54714953271028,10.540715665900908
Sergi Cardona,ESP,24.0,DF,DEF,31.3,36.969520766773165,10.539211725727764
Lamine Yamal,ESP,16.0,FW,FWD,24.5,47.15040816326531,10.532510562991003
Valentino Livramento,ENG,20.0,DF,DEF,14.6,37.323287671232876,10.52290927020537
Ainsley Maitland-Niles,ENG,25.0,"DF,MF",MID,15.9,36.181194968553456,10.496490534026055
Ismaël Bennacer,ALG,25.0,MF,MID,12.8,30.710625,10.444321944091595
Dani Carvajal,ESP,31.0,DF,DEF,24.1,35.3058091286307,10.429549362219879
João Pedro,BRA,21.0,"FW,MF",FWD,22.7,36.51207048458149,10.382238831077883
José Luis Gayà,ESP,28.0,DF,DEF,19.9,32.08778894472362,10.132360576655252
Richarlison,BRA,26.0,FW,FWD,16.6,24.761204819277104,10.131212963860301
Lucas Digne,FRA,30.0,DF,DEF,26.8,36.047761194029846,10.108436235756916
Folarin Balogun,USA,22.0,FW,FWD,18.8,31.60191489361702,10.069972898041135
Lautaro Martínez,ARG,25.0,FW,FWD,29.5,25.126271186440675,10.04217801150248
Josha Vagnoman,GER,22.0,DF,DEF,13.1,27.849236641221374,10.00614293642468
James Ward-Prowse,ENG,28.0,MF,MID,33.3,22.20015015015015,9.998328371992773
Jadon Sancho,ENG,23.0,"FW,MF",FWD,10.5,46.76761904761905,9.987882968664463
Donyell Malen,NED,24.0,"FW,MF",FWD,19.8,33.16343434343434,9.966218006956256
Emir Karic,AUT,26.0,DF,DEF,19.8,38.72585858585858,9.93823711864955
Raheem Sterling,ENG,28.0,"FW,MF",FWD,22.0,42.391818181818174,9.765149299051812
Sávio,BRA,19.0,"FW,MF",FWD,33.1,41.312175226586106,9.764227960882113
Nico Williams,ESP,21.0,FW,FWD,25.1,43.078247011952186,9.736321122532992
Kevin Mbabu,SUI,28.0,DF,DEF,22.7,34.5109691629956,9.725499290815742
Iago Aspas,ESP,35.0,FW,FWD,30.1,32.65343853820598,9.698109486698028
Marco Reus,GER,34.0,"MF,FW",FWD,17.8,24.17179775280899,9.56800809055771
Rémy Cabella,FRA,33.0,"FW,MF",FWD,16.4,43.17951219512196,9.52672241338531
Weston McKennie,USA,24.0,"MF,DF",MID,28.8,35.684999999999995,9.493671553808207
Alexander Sørloth,NOR,27.0,FW,FWD,27.7,22.295631768953065,9.460893004417835
Bernardo Silva,POR,28.0,"MF,FW",FWD,28.6,42.249930069930066,9.41488137877487
Joe Gomez,ENG,26.0,DF,DEF,19.8,37.754747474747475,9.38513000940803
Jesús Navas,ESP,37.0,DF,DEF,22.3,40.14578475336323,9.380507054616237
Justin Njinmah,GER,22.0,FW,FWD,11.3,29.08823008849558,9.346022826478173
Ollie Watkins,ENG,27.0,FW,FWD,35.7,22.571372549019607,9.321661830368981
Douglas Luiz,BRA,25.0,MF,MID,33.3,26.47468468468469,9.317614876388685
Théo Le Bris,FRA,20.0,"DF,MF",MID,16.8,41.93095238095238,9.253475723276214
Christian Günter,GER,30.0,DF,DEF,11.8,26.41322033898305,9.250053467898947
Frenkie de Jong,NED,26.0,MF,MID,18.2,45.605054945054945,9.220974668597524
Bruno Fernandes,POR,28.0,"MF,FW",FWD,34.6,35.11384393063584,9.20270363833857
Nicolás González,ARG,25.0,FW,FWD,21.3,35.464624413145536,9.199574722718786
Eric García,ESP,22.0,DF,DEF,29.3,29.2519795221843,9.146104025028587
Takefusa Kubo,JPN,22.0,"FW,MF",FWD,23.9,40.31715481171548,9.118889257109505
Mathías Olivera,URU,25.0,DF,DEF,17.4,36.861724137931034,9.107358664091596
Iván Martín,ESP,24.0,MF,MID,30.3,34.3223102310231,9.10376434019948
Javi López,ESP,21.0,DF,DEF,26.5,30.40679245283019,9.089656930997997
Vanderson,BRA,22.0,DF,DEF,18.2,37.408131868131875,9.087902755899721
Eberechi Eze,ENG,25.0,"MF,FW",FWD,22.8,29.58421052631579,9.055698404419878
Azzedine Ounahi,MAR,23.0,MF,MID,13.4,45.322238805970144,8.986439534197832
Ángel Correa,ARG,28.0,"FW,MF",FWD,17.0,30.349705882352943,8.973782774568047
Sael Kumbedi,FRA,18.0,DF,DEF,10.3,39.680388349514566,8.946239207633713
Michael Amir Murillo,PAN,27.0,DF,DEF,11.1,25.78486486486487,8.904623643082449
Warren Zaïre-Emery,FRA,17.0,"MF,DF",MID,21.8,36.736330275229356,8.889043080825598
Moussa Diaby,FRA,24.0,"FW,MF",FWD,24.2,31.621652892561983,8.862998849154234
Luca Netz,GER,20.0,DF,DEF,24.7,27.96842105263158,8.846944974624535
Tijjani Reijnders,NED,25.0,MF,MID,31.3,37.41782747603834,8.781225987039576
Portu,ESP,31.0,"MF,FW",FWD,13.2,27.665151515151518,8.756765490708984
Matías Vecino,URU,31.0,MF,MID,12.8,32.396875,8.749949965212394
Pape Matar Sarr,SEN,20.0,MF,MID,23.0,37.77173913043479,8.692360240971121
Ferrán Torres,ESP,23.0,FW,FWD,13.5,31.045555555555556,8.692284706264617
Jonathan David,CAN,23.0,FW,FWD,29.2,26.169794520547946,8.590494662493319
Ivan Rakitić,CRO,35.0,MF,MID,15.8,39.33455696202531,8.507349704082499
Conor Gallagher,ENG,23.0,MF,MID,34.8,31.97229885057472,8.500966694215752
Gonçalo Ramos,POR,22.0,FW,FWD,15.8,20.654240506329113,8.487100591762134
Lewis Ferguson,SCO,23.0,MF,MID,30.1,34.62225913621262,8.461849820571771
Andy Diouf,FRA,20.0,MF,MID,14.6,41.12794520547945,8.444351505775781
Deiver Machado,COL,29.0,DF,DEF,12.5,29.61,8.37766190611418
Isaac Bernal,ESP,23.0,FW,FWD,11.5,23.070434782608697,8.375395983010364
Junya Ito,JPN,30.0,"FW,MF",FWD,30.2,38.261390728476826,8.355322266866247
Anthony Caci,FRA,26.0,DF,DEF,27.6,28.738405797101446,8.29884770414657
Jack Grealish,ENG,27.0,"FW,MF",FWD,11.2,52.00000000000001,8.16023627836638
Hassane Kamara,CIV,29.0,DF,DEF,24.7,28.80056680161944,8.139704797478334
Juan Miranda,ESP,23.0,DF,DEF,20.6,33.95368932038834,8.138998381360464
Rocco Reitz,GER,21.0,MF,MID,23.7,27.861308016877636,8.018286891906213
Julián Álvarez,ARG,23.0,"MF,FW",FWD,29.4,26.872414965986398,8.01447907006934
Kieran Tierney,SCO,26.0,DF,DEF,13.8,30.337536231884062,7.98343205795995
Pablo Ibáñez,ESP,24.0,MF,MID,12.8,35.332499999999996,7.930236555870725
Bradley Locko,FRA,21.0,DF,DEF,32.9,34.24136778115502,7.871608970653058
Callum Wilson,ENG,31.0,FW,FWD,11.0,22.278636363636362,7.83860522989121
Ismaily,BRA,33.0,DF,DEF,27.4,32.80124087591241,7.816590106450762
Bafodé Diakité,FRA,22.0,DF,DEF,18.8,20.653617021276595,7.785787592512533
Désiré Doué,FRA,18.0,"MF,FW",FWD,18.1,42.73872928176795,7.744070773917295
Valentino Lazaro,AUT,27.0,"DF,MF",MID,22.2,35.14405405405405,7.650956987337157
Odilon Kossonou,CIV,22.0,DF,DEF,20.1,31.632537313432834,7.64187896327649
Pol Lirola,ESP,25.0,DF,DEF,17.1,27.399064327485377,7.585323735074274
Vitinha,POR,23.0,FW,FWD,10.3,26.922233009708737,7.545502690990241
Aleix García,ESP,26.0,MF,MID,35.5,35.24999999999999,7.481254016414201
Alassane Pléa,FRA,30.0,"FW,MF",FWD,21.3,33.43117370892019,7.441087347595738
Adrien Rabiot,FRA,28.0,MF,MID,29.5,31.323898305084747,7.408837025921237
Lucas Martínez Quarta,ARG,27.0,DF,DEF,25.5,25.58882352941177,7.378960401942217
Josip Juranović,CRO,27.0,DF,DEF,14.4,25.39222222222222,7.345806382515098
Curtis Jones,ENG,22.0,MF,MID,13.0,45.18076923076923,7.323314674424136
Junior Messias,BRA,32.0,"MF,DF",MID,11.7,36.43102564102564,7.292059785520592
Christopher Operi,CIV,26.0,DF,DEF,27.2,25.235294117647058,7.274586481297495
Jeremy Toljan,GER,28.0,DF,DEF,23.1,26.4008658008658,7.25542723538389
Pablo Sarabia,ESP,31.0,"MF,FW",FWD,19.4,31.9998969072165,7.187651346963382
Pablo Sarabia,ESP,31.0,"MF,FW",FWD,19.4,31.9998969072165,7.187651346963382
Fabián Ruiz Peña,ESP,27.0,MF,MID,13.3,31.419999999999995,7.1548404744210465
Antoine Griezmann,FRA,32.0,"FW,MF",FWD,29.4,27.625646258503405,7.146127819644291
Pubill,ESP,20.0,DF,DEF,20.9,26.241626794258377,7.004917840833026
Facundo Medina,ARG,24.0,DF,DEF,30.2,28.833708609271522,6.992168954192147
Robin Hack,GER,24.0,"FW,MF",FWD,15.0,29.770000000000003,6.88545532539424
Takehiro Tomiyasu,JPN,24.0,DF,DEF,12.8,29.796875,6.879855482296678
Alejandro Garnacho,ARG,19.0,FW,FWD,28.5,38.68105263157895,6.765802975197937
Alexis Mac Allister,ARG,24.0,MF,MID,28.9,32.40885813148789,6.738699699215362
Omar Marmoush,EGY,24.0,"FW,MF",FWD,25.6,27.6646875,6.698394642926204
Xaver Schlager,AUT,25.0,MF,MID,27.5,38.599090909090904,6.694335974162958
Wesley Saïd,FRA,28.0,"FW,MF",FWD,11.3,28.213274336283188,6.634345292980807
Franck Honorat,FRA,26.0,"DF,FW",FWD,26.1,35.025134099616864,6.599889647693734
Youssouf Sabaly,SEN,30.0,DF,DEF,11.6,31.390689655172412,6.591598025550794
Ramy Bensebaini,ALG,28.0,DF,DEF,11.5,40.21,6.591547965215991
Corentin Tolisso,FRA,28.0,MF,MID,19.3,39.52103626943005,6.589864429443756
Maghnes Akliouche,FRA,21.0,"MF,FW",FWD,17.9,33.22519553072626,6.5353836976843445
Jamie Leweling,GER,22.0,"FW,MF",FWD,16.9,34.67183431952663,6.471378107802359
Yann Aurel Bisseck,GER,22.0,DF,DEF,10.0,22.59,6.372700538619949
Angelo Stiller,GER,22.0,MF,MID,29.9,33.92247491638796,6.342039826848314
Phillipp Mwene,AUT,29.0,DF,DEF,22.2,29.43396396396396,6.292724576910956
Mohamed Bamba,CIV,21.0,FW,FWD,12.6,21.337222222222223,6.291661459146127
Diego Rico,ESP,30.0,DF,DEF,28.2,24.47794326241135,6.227239039240864
Marvin Mehlem,GER,25.0,MF,MID,16.5,27.75363636363636,6.20577966208072
Ross Barkley,ENG,29.0,MF,MID,29.1,26.997010309278348,6.191286179847937
Lucas Hernández,FRA,27.0,DF,DEF,21.2,29.460943396226416,6.171218778783557
Hans Hateboer,NED,29.0,DF,DEF,12.4,32.042258064516126,6.147852153130385
Nico Schlotterbeck,GER,23.0,DF,DEF,31.8,23.987798742138366,6.143055858012414
Niklas Schmidt,GER,25.0,MF,MID,14.1,36.713758865248224,6.134991119953173
Alfred Duncan,GHA,30.0,MF,MID,21.0,30.264761904761905,6.125148937799838
Rick Karsdorp,NED,28.0,DF,DEF,13.2,26.882121212121213,6.1134237215001
Benjamin Bourigeaud,FRA,29.0,"MF,FW",FWD,26.9,28.264033457249074,6.092796874780174
Iñaki Williams,GHA,29.0,FW,FWD,31.6,35.721265822784815,6.085740185174827
Nathan Patterson,SCO,21.0,DF,DEF,11.2,25.51142857142857,6.069898823629675
Nathan Aké,NED,28.0,DF,DEF,22.7,21.36105726872247,6.048055361648882
Aihen Muñoz,ESP,25.0,DF,DEF,12.5,21.14,5.951447115602468
Anthony Gordon,ENG,22.0,FW,FWD,32.1,31.995809968847354,5.927485612506963
Alex Baena,ESP,22.0,"MF,FW",FWD,28.7,32.15703832752613,5.913141213103124
Nicolás Tagliafico,ARG,30.0,DF,DEF,23.6,32.603389830508476,5.763222918350797
Emmanuel Agbadou,CIV,26.0,DF,DEF,28.8,25.235277777777778,5.762572981682623
Nicolas Jackson,SEN,22.0,FW,FWD,31.1,25.10048231511254,5.750619996273838
Juan Foyth,ARG,25.0,DF,DEF,11.8,25.26050847457627,5.6404511498893175
Jamie Bynoe-Gittens,ENG,18.0,"FW,MF",FWD,11.8,34.96610169491525,5.609486102754021
Dodi Lukebakio,BEL,25.0,"FW,MF",FWD,12.5,33.21,5.519571212242857
Yacine Adli,FRA,23.0,MF,MID,15.6,35.58538461538461,5.482549581438249
Maximilian Wöber,AUT,25.0,DF,DEF,23.0,24.202173913043477,5.466401617339436
Lewis Miley,ENG,17.0,MF,MID,13.4,28.384925373134326,5.456797917744012
Matthias Ginter,GER,29.0,DF,DEF,21.3,25.440422535211265,5.444060737933373
Marcos Senesi,ARG,26.0,DF,DEF,24.9,19.775983935742975,5.443818971782555
Neto Borges,BRA,26.0,DF,DEF,28.0,33.47857142857143,5.436816610631164
