Player,Nation,Nation_code,Pos,Pos_group,Age,Playing Time 90s,weighted_score_norm2,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes xG,Per 90 Minutes npxG,Per 90 Minutes xAG,PrgC_p90,PrgP_p90,PrgR_p90,CrdY_p90,CrdR_p90
Luka Modrić,hr CRO,CRO,MF,MID,37.0,18.8,55.411489361702124,0.11,0.32,0.07,0.07,0.3,2.8191489361702127,10.425531914893616,4.5212765957446805,0.10638297872340426,0.0
Andrew Robertson,sct SCO,SCO,DF,DEF,29.0,18.8,54.091914893617016,0.16,0.11,0.1,0.1,0.29,3.351063829787234,7.446808510638298,6.914893617021276,0.10638297872340426,0.0
Kevin Stöger,at AUT,AUT,MF,MID,29.0,29.6,53.50945945945946,0.24,0.34,0.21,0.1,0.33,2.7364864864864864,9.56081081081081,4.695945945945946,0.27027027027027023,0.0
Kaoru Mitoma,jp JPN,JPN,FW,FWD,26.0,16.5,53.12151515151515,0.18,0.24,0.21,0.21,0.16,7.333333333333333,3.878787878787879,14.484848484848484,0.24242424242424243,0.0
Bukayo Saka,eng ENG,ENG,FW,FWD,21.0,32.4,52.465246913580245,0.49,0.28,0.48,0.33,0.32,4.783950617283951,3.888888888888889,15.679012345679013,0.1234567901234568,0.0
Jack Grealish,eng ENG,ENG,"FW,MF",FWD,27.0,11.2,52.00000000000001,0.27,0.09,0.19,0.19,0.22,7.767857142857143,4.464285714285714,13.035714285714286,0.5357142857142857,0.0
Jonas Hofmann,de GER,GER,MF,MID,31.0,24.5,51.96448979591837,0.2,0.29,0.24,0.24,0.33,2.5714285714285716,4.857142857142857,9.020408163265307,0.12244897959183673,0.0
Joshua Kimmich,de GER,GER,"MF,DF",MID,28.0,24.2,51.210165289256196,0.04,0.25,0.05,0.05,0.3,2.31404958677686,9.462809917355372,4.710743801652892,0.04132231404958678,0.04132231404958678
Bradley Barcola,fr FRA,FRA,"FW,MF",FWD,20.0,15.2,51.043157894736844,0.26,0.46,0.3,0.3,0.34,6.11842105263158,3.68421052631579,14.210526315789474,0.19736842105263158,0.06578947368421052
Pascal Groß,de GER,GER,"MF,DF",MID,32.0,34.6,50.9950289017341,0.12,0.29,0.19,0.16,0.24,2.398843930635838,8.728323699421965,5.202312138728323,0.17341040462427745,0.0
Luis Alberto,es ESP,ESP,MF,MID,30.0,25.7,50.728132295719846,0.19,0.27,0.18,0.18,0.18,3.2295719844357977,8.249027237354086,4.824902723735408,0.27237354085603116,0.0
Gabriel Martinelli,br BRA,BRA,FW,FWD,22.0,22.4,50.54178571428572,0.27,0.18,0.31,0.31,0.27,5.669642857142858,2.9017857142857144,15.401785714285715,0.044642857142857144,0.0
Julien Ponceau,fr FRA,FRA,MF,MID,22.0,24.9,50.50775100401607,0.12,0.08,0.13,0.13,0.11,4.2570281124498,6.184738955823294,6.104417670682731,0.20080321285140562,0.0
Álex Grimaldo,es ESP,ESP,DF,DEF,27.0,30.9,50.45132686084143,0.32,0.42,0.18,0.18,0.3,2.4919093851132685,5.242718446601942,8.446601941747574,0.03236245954692557,0.0
Oihan Sancet,es ESP,ESP,MF,MID,23.0,21.9,50.39351598173516,0.18,0.23,0.29,0.25,0.21,3.4703196347031966,5.525114155251142,7.1689497716894985,0.22831050228310504,0.09132420091324202
Alejandro Balde,es ESP,ESP,DF,DEF,19.0,15.3,50.24464052287582,0.0,0.07,0.01,0.01,0.08,4.771241830065359,2.679738562091503,9.215686274509803,0.06535947712418301,0.0
Alphonso Davies,ca CAN,CAN,DF,DEF,22.0,22.9,50.198646288209616,0.09,0.22,0.04,0.04,0.12,5.283842794759826,5.109170305676856,6.069868995633188,0.0,0.0
Vinicius Júnior,br BRA,BRA,FW,FWD,23.0,20.7,50.059082125603865,0.72,0.24,0.63,0.59,0.21,6.618357487922705,2.7536231884057973,13.381642512077295,0.33816425120772947,0.0
Kylian Mbappé,fr FRA,FRA,FW,FWD,24.0,24.0,49.98833333333334,1.13,0.29,0.87,0.6,0.24,4.75,5.083333333333333,11.916666666666666,0.16666666666666666,0.0
Fran Garcia,es ESP,ESP,DF,DEF,23.0,15.5,49.695161290322574,0.06,0.32,0.03,0.03,0.16,3.4193548387096775,3.870967741935484,8.96774193548387,0.12903225806451613,0.0
Raphaël Guerreiro,pt POR,POR,"DF,MF",MID,29.0,13.2,49.300303030303034,0.23,0.0,0.18,0.18,0.15,2.7272727272727275,6.515151515151516,6.818181818181818,0.15151515151515152,0.0
Noussair Mazraoui,ma MAR,MAR,DF,DEF,25.0,13.3,49.28624060150375,0.0,0.23,0.07,0.07,0.13,2.556390977443609,7.744360902255639,5.93984962406015,0.22556390977443608,0.0
Adrien Thomasson,fr FRA,FRA,MF,MID,29.0,13.3,48.977293233082705,0.08,0.15,0.29,0.29,0.29,1.5037593984962405,5.112781954887218,9.097744360902254,0.15037593984962405,0.07518796992481203
Granit Xhaka,ch SUI,SUI,MF,MID,30.0,31.3,48.83281150159745,0.1,0.0,0.06,0.06,0.09,1.9169329073482428,12.523961661341852,1.6932907348242812,0.1597444089456869,0.0
Jonathan Clauss,fr FRA,FRA,DF,DEF,30.0,23.0,48.799565217391304,0.13,0.17,0.06,0.06,0.2,2.5652173913043477,5.956521739130435,7.478260869565218,0.08695652173913043,0.043478260869565216
Rodri,es ESP,ESP,MF,MID,27.0,32.6,48.320368098159506,0.25,0.28,0.12,0.12,0.12,2.331288343558282,11.533742331288343,1.687116564417178,0.24539877300613497,0.03067484662576687
Pervis Estupiñán,ec ECU,ECU,DF,DEF,25.0,13.8,48.25144927536232,0.14,0.22,0.07,0.07,0.25,3.4057971014492754,6.0144927536231885,6.3768115942028984,0.2898550724637681,0.0
Lucas Vázquez,es ESP,ESP,DF,DEF,32.0,15.8,48.20886075949367,0.19,0.38,0.07,0.07,0.24,1.7721518987341771,3.670886075949367,10.126582278481012,0.0,0.0
João Cancelo,pt POR,POR,DF,DEF,29.0,27.8,48.08021582733812,0.07,0.14,0.06,0.06,0.22,3.8129496402877696,5.071942446043165,6.942446043165467,0.2517985611510791,0.0
Noni Madueke,eng ENG,ENG,FW,FWD,21.0,11.7,47.57226495726496,0.43,0.17,0.21,0.14,0.23,6.495726495726496,4.444444444444445,11.623931623931625,0.17094017094017094,0.0
Dani Olmo,es ESP,ESP,MF,MID,25.0,16.1,47.40416149068322,0.25,0.31,0.21,0.21,0.34,3.726708074534161,4.22360248447205,6.894409937888198,0.0,0.0
Lamine Yamal,es ESP,ESP,FW,FWD,16.0,24.5,47.15040816326531,0.2,0.2,0.21,0.21,0.25,5.020408163265306,3.2653061224489797,14.285714285714286,0.12244897959183673,0.0
Teun Koopmeiners,nl NED,NED,MF,MID,25.0,29.2,47.14876712328767,0.41,0.17,0.22,0.17,0.2,2.7054794520547945,5.787671232876712,6.506849315068493,0.17123287671232876,0.0
Juanlu Sánchez,es ESP,ESP,DF,DEF,19.0,13.1,47.114885496183206,0.0,0.15,0.07,0.07,0.09,3.2061068702290076,3.816793893129771,8.549618320610687,0.15267175572519084,0.0
Tom Cairney,sct SCO,SCO,MF,MID,32.0,16.5,47.03636363636364,0.06,0.24,0.07,0.07,0.14,2.121212121212121,8.787878787878787,4.363636363636363,0.18181818181818182,0.0
Leroy Sané,de GER,GER,FW,FWD,27.0,23.7,46.94042194092827,0.34,0.46,0.46,0.46,0.46,5.105485232067511,4.767932489451477,11.561181434599156,0.16877637130801687,0.0
Mohamed Salah,eg EGY,EGY,FW,FWD,31.0,28.2,46.91936170212766,0.64,0.36,0.75,0.55,0.42,3.475177304964539,5.212765957446809,12.092198581560284,0.07092198581560284,0.0
Jadon Sancho,eng ENG,ENG,"FW,MF",FWD,23.0,10.5,46.76761904761905,0.19,0.19,0.07,0.07,0.28,5.809523809523809,5.904761904761905,10.857142857142858,0.09523809523809523,0.0
Malo Gusto,fr FRA,FRA,DF,DEF,20.0,19.5,46.69974358974359,0.0,0.31,0.05,0.05,0.22,4.0,4.410256410256411,6.923076923076923,0.358974358974359,0.05128205128205128
Toni Kroos,de GER,GER,MF,MID,33.0,23.6,46.361525423728814,0.04,0.34,0.07,0.07,0.21,1.3559322033898304,12.288135593220339,1.2288135593220337,0.1271186440677966,0.0
Takumi Minamino,jp JPN,JPN,MF,MID,28.0,23.5,46.287021276595745,0.38,0.26,0.25,0.25,0.21,2.0425531914893615,4.127659574468085,8.425531914893616,0.1702127659574468,0.0
Angelo Fulgini,fr FRA,FRA,MF,MID,26.0,15.3,45.82836601307189,0.07,0.13,0.21,0.21,0.21,2.287581699346405,4.836601307189542,7.647058823529411,0.06535947712418301,0.0
